"LANDSCAP_2","disturb_ha_2020","disturb_ha_2030","disturb_ha_2040","disturb_ha_2050","disturb_ha_2060","disturb_ha_2070","disturb_ha_2080","disturb_ha_2090","calc_area_ha","perc_disturb_2020","perc_disturb_2030","perc_disturb_2040","perc_disturb_2050","perc_disturb_2060","perc_disturb_2070","perc_disturb_2080","perc_disturb_2090"
"48","Manson River",17900.4860687256,17870.7907562256,19561.3083343506,19877.6247406006,19877.2673187256,19912.2673187256,19948.7067718506,20058.7067718506,22353.7770485679,80.0781274226424,79.9452849395333,87.5078439399744,88.922890737492,88.9212918046843,89.0778648971149,89.2408774074653,89.7329642693903
"49","Gaffney",74638.70703125,77832.85546875,96456.0546875,98280.21484375,98199.828125,98426.94921875,98593.94921875,98973.6640625,109280.686214794,68.2999984869656,71.2228831687307,88.2645031144049,89.9337460698019,89.8601862107505,90.0680189958628,90.2208364842814,90.5683039617491
"50","Nation",3635.50989513216,3835.08338383911,3836.66199712036,3836.66339737503,3836.66351789143,3836.66351789143,3836.66351789143,3836.66351789143,3837.682013562,94.7319210472522,99.932286476219,99.9734210276402,99.9734575146306,99.9734606549742,99.9734606549742,99.9734606549742,99.9734606549742
"51","Connaghan Creek",2501.42700195312,2528.82568359375,3532.94506835938,4253.28759765625,4435.912109375,4455.912109375,4463.912109375,4720.7900390625,8461.8791234375,29.561128981679,29.8849185471047,41.7513062621506,50.2641025192099,52.4223053138223,52.658659434559,52.7532010828537,55.7889089432508
"52","Heather Dina Lake",3209.12670898438,3159.44372177124,3251.98180770874,3243.10363388062,3243.10363388062,3260.10363388062,3262.11315536499,3274.33483505249,5821.66071573542,55.1239047701697,54.270488715214,55.8600366201164,55.7075341940625,55.7075341940625,55.9995470891811,56.034065100149,56.243999692429
"53","Klawli",39633.4433932205,40625.0722994705,48501.5495305208,57628.0606273271,57983.7617092639,58416.3602471175,58862.3602471175,59444.358038172,79797.3586527379,49.6676131420556,50.9102970140436,60.7808959461801,72.218005207557,72.6637606660612,73.2058820409505,73.7647977839401,74.4941424651184
"54","Morfee",15220.3385824319,16019.2273763772,16123.9677023049,16141.1688741799,15635.0790304299,15635.0790304299,15638.0790304299,16256.6197408792,20066.8876986778,75.8480279103508,79.8291574504237,80.3511134582536,80.4368326396897,77.9148180086747,77.9148180086747,77.9297680101151,81.0121628475068
"55","Misinchinka",49458.6345252991,62884.4694519043,66451.6502380371,68453.5484619141,69509.7560119629,70006.5064086914,70296.5163574219,77939.1577382562,97338.0000802183,50.8112294114726,64.6042341121452,68.2689701691764,70.325616311718,71.4107090290313,71.9210445571078,72.2189856987909,80.0706380591598
"56","Bijoux Falls",67.8394927978516,67.8394927978516,67.8394927978516,67.8394927978516,67.8394927978516,67.8394927978516,67.8394927978516,67.8394927978516,67.839490625,100.00000320293,100.00000320293,100.00000320293,100.00000320293,100.00000320293,100.00000320293,100.00000320293,100.00000320293
"57","Kennedy",4926.09356993251,6710.08220899105,7833.99046802521,7975.92351913452,8616.41450309753,8617.41450309753,8666.471367836,10073.5720558167,24347.0741666121,20.2327948574938,27.560117339244,32.1763116767772,32.7592689969793,35.3899382083186,35.3940454780183,35.5955352521191,41.3748772722385
"58","Philip",17425.763671875,20876.421875,21443.33203125,21672.935546875,21916.935546875,21963.935546875,22025.935546875,22079.33203125,23327.2576191163,74.701295610483,89.4936825231103,91.9239302852194,92.9082016443904,93.9541882922167,94.155669326839,94.4214528193194,94.650354498406
"59","Chuchi",0.0185342091391013,0.0185342091391013,0.0209391457208186,0.0209391457208186,0.0207289959559931,0.0207289959559931,0.0207289959559931,0.0207289959559931,0.0362625845031039,51.1111091309965,51.1111091309965,57.7431145841972,57.7431145841972,57.1635922812365,57.1635922812365,57.1635922812365,57.1635922812365
"60","Reynolds",0.000944414350669831,0.000944414350669831,0.00394463403790724,0.00450285807892215,0.0055368135870415,0.0055368135870415,0.00606545509779632,0.00942531344650011,0.0369866817475051,2.55339031794475,2.55339031794475,10.6650119760292,12.1742688615907,14.9697494488404,14.9697494488404,16.399024760326,25.4829927995254
"61","Anzac",0,0,0,0,0,0,0,0.000320345207001083,0.00444600862831613,0,0,0,0,0,0,0,7.20523133852777
"62","Braid",12666.005859375,12666.005859375,6019.923828125,6019.923828125,6019.923828125,6019.923828125,6019.923828125,6019.923828125,132949.347824534,9.52694094903841,9.52694094903841,4.52798296992783,4.52798296992783,4.52798296992783,4.52798296992783,4.52798296992783,4.52798296992783
"63","Fox",20828.4159582257,33010.9064367414,40446.0146484375,39826.013671875,40038.013671875,40290.5625,40290.5625,40290.5625,271600.277426347,7.66877565648805,12.1542241228724,14.8917427595064,14.6634657553599,14.7415216402835,14.8345071226689,14.8345071226689,14.8345071226689
"64","Obo River",0,0,0,0,0,0,0,0,104168.232434596,0,0,0,0,0,0,0,0
"65","Kwadacha Addition",7416.77319335938,0,0,0,0,0,0,0,12789.6486371441,57.9904374528267,0,0,0,0,0,0,0
"66","Finlay-Russel",3337.30938720703,3603.38653564453,2770.1103515625,2770.1103515625,623.908996582031,624.132469475269,3215.16732054949,4046.09212523699,47074.7975482486,7.08937597402624,7.6545980510087,5.88448702030702,5.88448702030702,1.32535672817831,1.32583144693416,6.82991215682691,8.5950282018526
"67","Thutade",34967.0102539062,35681.5112304688,35681.5112304688,34706.4929199219,37172.5202636719,45963.544921875,55565.935546875,62255.0478515625,257534.657157434,13.5775940371903,13.8550328038592,13.8550328038592,13.476435871971,14.4339875160755,17.847518244419,21.5761001490789,24.1734640839059
"68","Buffalohead",96595.9900958538,98926.9041583538,99578.5073939115,101181.537578523,108419.326728344,112718.717353344,116203.857978344,124329.378570557,250111.788490379,38.6211264486519,39.5530753490091,39.813600148536,40.4545256300126,43.3483473061146,45.0673349040004,46.4607680748379,49.709523617812
"69","Upper Pelly",3261.39306640625,5856.39306640625,5842.39306640625,5749.5205078125,2777.99194335938,3971.51293945312,8293.13671875,10161.70703125,103019.135097202,3.16581289808831,5.68476240931408,5.67117270096836,5.58102191635332,2.69657859264518,3.85512160988913,8.05009351993212,9.86390248924344
