"WATERSHED_","disturb_ha_2020","disturb_ha_2030","disturb_ha_2040","disturb_ha_2050","disturb_ha_2060","disturb_ha_2070","disturb_ha_2080","disturb_ha_2090","calc_area_ha","perc_disturb_2020","perc_disturb_2030","perc_disturb_2040","perc_disturb_2050","perc_disturb_2060","perc_disturb_2070","perc_disturb_2080","perc_disturb_2090"
"103",11978,2085.73754882812,2378.90087890625,2530.91918945312,3071.35400390625,3383.87451171875,5193.38916015625,5884.8095703125,5884.8095703125,6849.93694278762,30.4490036368031,34.7287996776528,36.9480655163981,44.8376974789544,49.4000826574275,75.8165980728396,85.9104196062518,85.9104196062518
"104",11980,2977.29711914062,3005.29711914062,3005.29711914062,3151.80297851562,3128.181640625,3128.181640625,3128.181640625,3145.00024414062,3724.01976594816,79.9484778884515,80.7003535969541,80.7003535969541,84.634432054717,84.0001352632065,84.0001352632065,84.0001352632065,84.4517602430042
"105",11979,839.442260742188,883.236389160156,923.236389160156,1759.34826660156,2888.54711914062,2942.04028320312,2942.40698242188,2943.40698242188,3114.49782841169,26.952732253799,28.3588699630137,29.6431861579105,56.4889867814993,92.745196120869,94.4627495439124,94.4745234875449,94.5066313924173
"106",11981,2248.6748046875,2298.6748046875,2407.48266601562,2747.943359375,3249.61181640625,3842.47509765625,4081.93334960938,4081.93334960938,9646.89472672987,23.3098304520398,23.8281319512928,24.9560375044304,28.485263260528,33.6855735286728,39.8312120791514,42.3134434990676,42.3134434990676
"107",10387,1867.17614746094,1867.17614746094,1666.68676757812,1754.3515625,1759.34912109375,2085.79565429688,2085.79565429688,2093.59692382812,4676.17586926129,39.9295535425596,39.9295535425596,35.6420890525962,37.5168002989832,37.6236730671056,44.6047307161348,44.6047307161348,44.7715608300861
"108",10388,2637.36962890625,2637.36962890625,2637.60424804688,2856.7021484375,3324.46630859375,3352.46630859375,3352.46630859375,3352.46630859375,4598.12578095114,57.3574920423491,57.3574920423491,57.3625945374047,62.1275337937055,72.3004647320908,72.9094084916547,72.9094084916547,72.9094084916547
"109",10389,1763.263671875,1763.263671875,1884.51049804688,2111.310546875,2239.220703125,2239.220703125,2239.220703125,2279.220703125,6807.89328911892,25.9002836412438,25.9002836412438,27.6812578872071,31.0126856754573,32.8915364567179,32.8915364567179,32.8915364567179,33.4790897320304
"110",10390,0,0,0,0,0,0,0,0,4153.72877166188,0,0,0,0,0,0,0,0
"111",10391,0,0,0,0,0,0,0,0,4039.62047545947,0,0,0,0,0,0,0,0
"112",11921,753.350341796875,753.350341796875,753.350341796875,789.8896484375,832.35009765625,832.35009765625,836.35009765625,836.35009765625,868.892543173143,86.7023601152895,86.7023601152895,86.7023601152895,90.907633474776,95.7943653902884,95.7943653902884,96.2547215104356,96.2547215104356
"113",11925,3699.064453125,3796.05541992188,4230.654296875,4547.09619140625,4577.3408203125,4592.56640625,4592.56640625,4592.56640625,4634.53558255458,79.8152131369775,81.9080003228601,91.2853989685638,98.113308451499,98.7659008929099,99.0944254163769,99.0944254163769,99.0944254163769
"114",11932,2153.15405273438,2140.296875,2334.67358398438,2430.7666015625,2713.63940429688,2713.63940429688,2713.63940429688,2730.27587890625,2857.08006797012,75.362048017931,74.912036907689,81.7153712336491,85.078700762121,94.9794664391344,94.9794664391344,94.9794664391344,95.5617558469771
"115",11933,2628.39013671875,2645.82958984375,2666.66333007812,2784.56372070312,2885.59497070312,2885.8662109375,2926.55981445312,2934.31176757812,4330.85736802907,60.6898337525926,61.092512752223,61.5735662357243,64.2958999587269,66.6287232640111,66.6349862325489,67.5746062675108,67.7535997661706
"116",11931,2719.98217773438,2718.98217773438,2956.30712890625,3101.78466796875,3115.78466796875,3116.78466796875,3116.78466796875,3116.78466796875,3117.78465112529,87.2408611272322,87.2087870710706,94.8207608835088,99.4868156416523,99.9358524279149,99.9679264840765,99.9679264840765,99.9679264840765
"117",11935,2451.408203125,2723.14721679688,2963.7333984375,3043.57592773438,3156.57592773438,3165.57592773438,3165.7626953125,3168.74096679688,3258.74370847205,75.2255599834947,83.5643260228556,90.9471153172438,93.3972168422365,96.8648108020261,97.1409908519208,97.1467221273703,97.2381153681653
"118",11936,1154.28100585938,1215.1513671875,1355.07250976562,1373.99145507812,1509.06616210938,1509.06616210938,1567.93188476562,1567.93188476562,2029.30497809482,56.8806078100224,59.8801747546258,66.7752025640726,67.7074895054993,74.3636948807043,74.3636948807043,77.2644773304431,77.2644773304431
"119",11934,1192.91088867188,1258.91088867188,1262.02026367188,1247.02026367188,1293.3701171875,1293.3701171875,1293.3701171875,1307.66760253906,2125.02162292443,56.1364117806106,59.2422625299866,59.3885845704994,58.6827094001866,60.8638567831407,60.8638567831407,60.8638567831407,61.5366727769793
"120",11938,2330.02221679688,2496.16796875,2615.58764648438,2950.986328125,3145.94702148438,3145.94702148438,3145.94702148438,3171.89770507812,3319.7838644778,70.1859612527331,75.1906771841198,78.7878896114764,88.890917258229,94.763609617677,94.763609617677,94.763609617677,95.5453076032424
"121",11937,4669.52099609375,4689.76611328125,4708.501953125,4965.43359375,5585.79931640625,5585.79931640625,5623.10595703125,5634.4912109375,6217.68560593168,75.1006289484791,75.426234301831,75.7275657140509,79.859837059194,89.8372749995173,89.8372749995173,90.4372834751696,90.6203942760018
